Title,Genre,Duration,Rating,Voting
Dune: Part Two,Action,2h 46m,8.5,610K
Venom: The Last Dance,Action,1h 50m,6,105K
Gladiator II,Action,2h 28m,6.6,213K
Sonic the Hedgehog 3,Action,1h 50m,6.9,51K
The Lord of the Rings: The War of the Rohirrim,Action,2h 14m,6.3,27K
William Tell,Action,2h 13m,5.7,1.4K
Kraven the Hunter,Action,2h 7m,5.4,42K
Pushpa: The Rule - Part 2,Action,3h 21m,6.1,53K
Furiosa: A Mad Max Saga,Action,2h 28m,7.5,278K
Elevation,Action,1h 31m,5.6,19K
Borderlands,Action,1h 41m,4.7,44K
Deadpool & Wolverine,Action,2h 8m,7.6,478K
The Ministry of Ungentlemanly Warfare,Action,2h 2m,6.8,131K
Civil War,Action,1h 49m,7,231K
The Count of Monte-Cristo,Action,2h 58m,7.6,32K
Twisters,Action,2h 2m,6.5,159K
Carry-On,Action,1h 59m,6.5,158K
The Crow,Action,1h 51m,4.7,32K
Marco,Action,2h 25m,7,19K
The Fall Guy,Action,2h 6m,6.8,215K
The Beekeeper,Action,1h 45m,6.3,152K
Kingdom of the Planet of the Apes,Action,2h 25m,6.9,149K
Madame Web,Action,1h 56m,4,99K
Homestead,Action,1h 52m,5.4,3.2K
Rebel Ridge,Action,2h 11m,6.8,85K
Red One,Action,2h 3m,6.3,137K
Thelma,Action,1h 38m,7,21K
Hellboy: The Crooked Man,Action,1h 39m,4.5,12K
Old Guy,Action,1h 34m,5.1,1.5K
Road House,Action,2h 1m,6.2,165K
Transformers One,Action,1h 44m,7.6,47K
Attack on Titan the Movie: The Last Attack,Action,2h 25m,9.3,14K
Bad Boys: Ride or Die,Action,1h 55m,6.5,98K
Argylle,Action,2h 19m,5.6,91K
Damsel,Action,1h 50m,6.1,108K
Solo Leveling: ReAwakening,Action,2h 1m,8.7,6K
Monkey Man,Action,2h 1m,6.8,90K
Love Lies Bleeding,Action,1h 44m,6.6,55K
Aftermath,Action,1h 37m,5.1,3.3K
Godzilla x Kong: The New Empire,Action,1h 55m,6.1,119K
Baby John,Action,2h 39m,5.4,17K
The Union,Action,1h 47m,5.4,52K
Freaky Tales,Action,1h 46m,6.5,362
Land of Bad,Action,1h 53m,6.6,50K
The Killer's Game,Action,1h 44m,5.7,16K
Absolution,Action,1h 52m,5.2,7.3K
Azrael,Action,1h 26m,5.4,10K
Drive-Away Dolls,Action,1h 24m,5.4,23K
Uglies,Action,1h 40m,4.7,32K
Blitz,Action,2h,6.2,15K
Arcadian,Action,1h 32m,5.5,22K
Werewolves,Action,1h 33m,4.4,5.9K
Kung Fu Panda 4,Action,1h 34m,6.3,66K
Descendants: The Rise of Red,Action,1h 31m,4.7,6.9K
The Killer,Action,2h 6m,5.7,12K
Lift,Action,1h 47m,5.5,49K
Beverly Hills Cop: Axel F,Action,1h 58m,6.4,80K
The Instigators,Action,1h 41m,6.2,37K
Weekend in Taipei,Action,1h 40m,5.7,4.3K
Apocalypse Z: The Beginning of the End,Action,1h 57m,6.1,19K
Brothers,Action,1h 29m,5.4,13K
Maharaja,Action,2h 21m,8.4,65K
11 Rebels,Action,2h 35m,6.2,229
Hagen,Action,2h 19m,6.1,946
Canary Black,Action,1h 41m,5.4,11K
Watchmen: Chapter I,Action,1h 23m,7,6.2K
Atlas,Action,1h 58m,5.6,55K
Long Gone Heroes,Action,1h 41m,5.2,938
The Silent Hour,Action,1h 39m,6.1,6.9K
Kalki 2898 AD,Action,3h,7,66K
Dirty Angels,Action,1h 44m,4.3,3.1K
Hitpig,Action,1h 26m,5.1,811
The Shadow Strays,Action,2h 24m,6.5,8.8K
Classified,Action,1h 45m,3.7,2.2K
Survive,Action,1h 30m,4.6,2K
Rebel Moon - Part Two: The Scargiver,Action,2h 2m,5.3,59K
Cash Out,Action,1h 32m,4.8,2.8K
Jackpot!,Action,1h 46m,5.8,30K
Dominique,Action,1h 40m,5.2,2.1K
Twilight of the Warriors: Walled In,Action,2h 6m,7,8.8K
Trigger Warning,Action,1h 46m,4.6,19K
Under Paris,Action,1h 44m,5.2,36K
Gunner,Action,1h 46m,3.2,2.3K
No Way Up,Action,1h 30m,4.6,10K
Boneyard,Action,1h 36m,4.1,4.8K
Watchmen: Chapter II,Action,1h 30m,7,2.7K
Death Whisperer 2,Action,1h 50m,6.4,1.2K
Armor,Action,1h 29m,3.5,3.6K
Megamind vs. The Doom Syndicate,Action,1h 23m,2.5,5.4K
Night Call,Action,1h 37m,6.8,1.7K
Aavesham,Action,2h 35m,7.8,27K
Panda Plan,Action,1h 39m,5.1,1.1K
Agents,Action,1h 22m,3.8,866
Red Right Hand,Action,1h 51m,5.5,5.7K
Damaged,Action,1h 37m,4.7,7.1K
Levels,Action,1h 33m,5,1.4K
River of Blood,Action,1h 26m,5.4,1.5K
Role Play,Action,1h 40m,5.5,19K
Max,Action,2h 12m,7.2,3.2K
Take Cover,Action,1h 30m,5.1,2.3K
Harbin,Action,1h 48m,6.6,464
Amaran,Action,2h 47m,8.2,18K
Chief of Station,Action,1h 37m,4.7,4.3K
My Hero Academia: You're Next,Action,1h 50m,7,1.9K
Trouble,Action,1h 38m,6.2,6.6K
My Spy: The Eternal City,Action,1h 52m,5.7,11K
Sunray: Fallen Soldier,Action,1h 55m,4.3,574
