Title,Genre,Duration,Rating,Voting
Anora,Comedy,2h 19m,7.6,141K
Emilia Pérez,Comedy,2h 12m,5.4,83K
A Real Pain,Comedy,1h 30m,7.1,73K
Sonic the Hedgehog 3,Comedy,1h 50m,6.9,51K
Riff Raff,Comedy,1h 43m,6.3,754
Despicable Me 4,Comedy,1h 34m,6.2,62K
Borderlands,Comedy,1h 41m,4.7,44K
Paddington in Peru,Comedy,1h 46m,6.7,16K
Saturday Night,Comedy,1h 49m,6.9,28K
Deadpool & Wolverine,Comedy,2h 8m,7.6,478K
The Ministry of Ungentlemanly Warfare,Comedy,2h 2m,6.8,131K
A Different Man,Comedy,1h 52m,6.9,27K
Moana 2,Comedy,1h 40m,6.7,82K
Challengers,Comedy,2h 11m,7.1,150K
Spermageddon,Comedy,1h 20m,5.7,547
Kinds of Kindness,Comedy,2h 44m,6.5,57K
Inside Out 2,Comedy,1h 36m,7.5,210K
The Fall Guy,Comedy,2h 6m,6.8,215K
Beetlejuice Beetlejuice,Comedy,1h 45m,6.7,142K
My Dead Friend Zoe,Comedy,1h 43m,7.3,1K
Superboys of Malegaon,Comedy,2h 7m,8,890
F*** Marry Kill,Comedy,1h 37m,5.2,1.6K
My Old Ass,Comedy,1h 29m,6.9,37K
Red One,Comedy,2h 3m,6.3,137K
Thelma,Comedy,1h 38m,7,21K
Wallace & Gromit: Vengeance Most Fowl,Comedy,1h 22m,7.5,32K
Night of the Zoopocalypse,Comedy,1h 31m,6.2,281
It's What's Inside,Comedy,1h 43m,6.6,40K
Old Guy,Comedy,1h 34m,5.1,1.5K
Nightbitch,Comedy,1h 39m,5.6,18K
Snack Shack,Comedy,1h 52m,7,11K
IF,Comedy,1h 44m,6.4,56K
Fly Me to the Moon,Comedy,2h 12m,6.6,48K
Bad Boys: Ride or Die,Comedy,1h 55m,6.5,98K
Argylle,Comedy,2h 19m,5.6,91K
The Idea of You,Comedy,1h 55m,6.3,72K
The Day the Earth Blew Up: A Looney Tunes Movie,Comedy,1h 31m,6.7,1K
Kneecap,Comedy,1h 45m,7.6,16K
The Union,Comedy,1h 47m,5.4,52K
Ghostbusters: Frozen Empire,Comedy,1h 55m,6.1,92K
Freaky Tales,Comedy,1h 46m,6.5,362
Mean Girls,Comedy,1h 52m,5.6,37K
The Killer's Game,Comedy,1h 44m,5.7,16K
Greedy People,Comedy,1h 52m,6.2,10K
Hard Truths,Comedy,1h 37m,7.3,4.2K
Sacramento,Comedy,1h 24m,7,132
Drive-Away Dolls,Comedy,1h 24m,5.4,23K
Unfrosted,Comedy,1h 37m,5.5,34K
Miller's Girl,Comedy,1h 33m,5.2,23K
The Garfield Movie,Comedy,1h 41m,5.7,23K
A Family Affair,Comedy,1h 51m,5.3,36K
Kung Fu Panda 4,Comedy,1h 34m,6.3,66K
Get Away,Comedy,1h 26m,5.3,6K
Distant,Comedy,1h 27m,5.7,2.9K
Rumours,Comedy,1h 44m,5,4.2K
Lift,Comedy,1h 47m,5.5,49K
Beverly Hills Cop: Axel F,Comedy,1h 58m,6.4,80K
Friendship,Comedy,1h 40m,7.5,199
Don't Tell Mom the Babysitter's Dead,Comedy,1h 39m,3.8,1.1K
The Instigators,Comedy,1h 41m,6.2,37K
Your Monster,Comedy,1h 43m,6.4,5.4K
Y2K,Comedy,1h 31m,4.9,9.6K
Harold and the Purple Crayon,Comedy,1h 30m,5.7,7.8K
Eephus,Comedy,1h 38m,6.9,208
Misericordia,Comedy,1h 44m,6.9,1.5K
Brothers,Comedy,1h 29m,5.4,13K
Winner,Comedy,1h 43m,6.5,2.2K
The Gutter,Comedy,1h 32m,5.4,402
Incoming,Comedy,1h 31m,5.8,13K
Ricky Stanicky,Comedy,1h 53m,6.2,55K
We're All Gonna Die,Comedy,1h 50m,8.4,69
Boot Camp,Comedy,1h 34m,5.8,993
Ghostlight,Comedy,1h 55m,7.6,5.5K
How to Make Millions Before Grandma Dies,Comedy,2h 5m,8,13K
Dìdi,Comedy,1h 33m,7.3,12K
Goodrich,Comedy,1h 50m,6.3,4.8K
Hitpig,Comedy,1h 26m,5.1,811
Spellbound,Comedy,1h 49m,5.7,6.2K
Lisa Frankenstein,Comedy,1h 41m,6.1,28K
A Dog's Will 2,Comedy,1h 44m,6.3,2.6K
