Title,Genre,Duration,Rating,Voting
The Substance,Horror,2h 21m,7.3,275K
Nosferatu,Horror,2h 12m,7.3,175K
Heretic,Horror,1h 51m,7,115K
Presence,Horror,1h 24m,6.2,16K
Longlegs,Horror,1h 41m,6.6,177K
Alien: Romulus,Horror,1h 59m,7.1,236K
Smile 2,Horror,2h 7m,6.7,96K
MaXXXine,Horror,1h 43m,6.3,67K
Speak No Evil,Horror,1h 50m,6.8,91K
Abigail,Horror,1h 49m,6.6,94K
The Watchers,Horror,1h 42m,5.7,55K
The Crow,Horror,1h 51m,4.7,32K
Kinds of Kindness,Horror,2h 44m,6.5,57K
Beetlejuice Beetlejuice,Horror,1h 45m,6.7,142K
Trap,Horror,1h 45m,5.8,128K
Terrifier 3,Horror,2h 5m,6.3,47K
The Rule of Jenny Pen,Horror,1h 44m,6.5,533
Night of the Zoopocalypse,Horror,1h 31m,6.2,281
Hellboy: The Crooked Man,Horror,1h 39m,4.5,12K
Oddity,Horror,1h 38m,6.7,40K
Nightbitch,Horror,1h 39m,5.6,18K
A Quiet Place: Day One,Horror,1h 39m,6.3,144K
Cuckoo,Horror,1h 42m,5.7,25K
I Saw the TV Glow,Horror,1h 40m,5.8,34K
Things Will Be Different,Horror,1h 42m,5.2,2.2K
Immaculate,Horror,1h 29m,5.8,51K
Don't Move,Horror,1h 32m,5.8,38K
Azrael,Horror,1h 26m,5.4,10K
In a Violent Nature,Horror,1h 34m,5.6,25K
The First Omen,Horror,1h 59m,6.5,63K
Arcadian,Horror,1h 32m,5.5,22K
Werewolves,Horror,1h 33m,4.4,5.9K
Grafted,Horror,1h 36m,5.6,2K
The Front Room,Horror,1h 34m,4.6,5.1K
Get Away,Horror,1h 26m,5.3,6K
Rumours,Horror,1h 44m,5,4.2K
Salem's Lot,Horror,1h 54m,5.6,33K
Apartment 7A,Horror,1h 47m,5.8,16K
Blackwater Lane,Horror,1h 48m,4.6,1.7K
Your Monster,Horror,1h 43m,6.4,5.4K
Y2K,Horror,1h 31m,4.9,9.6K
The Shrouds,Horror,1h 59m,5.8,701
Apocalypse Z: The Beginning of the End,Horror,1h 57m,6.1,19K
Time Cut,Horror,1h 31m,5,18K
The Damned,Horror,1h 29m,5.7,3.6K
The Strangers: Chapter 1,Horror,1h 31m,4.6,22K
Bagman,Horror,1h 33m,4.6,4.3K
The Deliverance,Horror,1h 52m,5.1,22K
Tarot,Horror,1h 32m,4.8,31K
Never Let Go,Horror,1h 41m,5.4,13K
Exhuma,Horror,2h 14m,6.9,22K
Little Bites,Horror,1h 45m,4.6,1.1K
