Title,Genre,Duration,Rating,Voting
Nosferatu,Mystery,2h 12m,7.3,175K
Blink Twice,Mystery,1h 42m,6.5,99K
Paddington in Peru,Mystery,1h 46m,6.7,16K
Juror #2,Mystery,1h 54m,7,90K
Smile 2,Mystery,2h 7m,6.7,96K
The Watchers,Mystery,1h 42m,5.7,55K
Trap,Mystery,1h 45m,5.8,128K
F*** Marry Kill,Mystery,1h 37m,5.2,1.6K
The Rule of Jenny Pen,Mystery,1h 44m,6.5,533
Red One,Mystery,2h 3m,6.3,137K
Caddo Lake,Mystery,1h 43m,6.8,40K
Hellboy: The Crooked Man,Mystery,1h 39m,4.5,12K
It's What's Inside,Mystery,1h 43m,6.6,40K
Cuckoo,Mystery,1h 42m,5.7,25K
Love Lies Bleeding,Mystery,1h 44m,6.6,55K
Absolution,Mystery,1h 52m,5.2,7.3K
Sleeping Dogs,Mystery,1h 50m,6.2,21K
The Instigators,Mystery,1h 41m,6.2,37K
Blackwater Lane,Mystery,1h 48m,4.6,1.7K
Killer Heat,Mystery,1h 37m,5.6,13K
Time Cut,Mystery,1h 31m,5,18K
The Damned,Mystery,1h 29m,5.7,3.6K
Watchmen: Chapter I,Mystery,1h 23m,7,6.2K
Long Gone Heroes,Mystery,1h 41m,5.2,938
Exhuma,Mystery,2h 14m,6.9,22K
Die Alone,Mystery,1h 31m,5.7,2.5K
Monster Summer,Mystery,1h 37m,5.7,3.4K
Outbreak,Mystery,1h 28m,4.5,791
Afraid,Mystery,1h 24m,5.2,13K
The Dead Thing,Mystery,1h 34m,4.8,771
Boneyard,Mystery,1h 36m,4.1,4.8K
Watchmen: Chapter II,Mystery,1h 30m,7,2.7K
Night Swim,Mystery,1h 38m,4.7,27K
The Lost Daughter,Mystery,1h 39m,5.8,274
Damaged,Mystery,1h 37m,4.7,7.1K
Kishkindha Kaandam,Mystery,2h 13m,8,11K
Imaginary,Mystery,1h 44m,4.7,17K
Orion and the Dark,Mystery,1h 33m,6.3,17K
The Girl in the Pool,Mystery,1h 29m,4.3,1.4K
Force of Nature: The Dry 2,Mystery,2h,5.9,6.6K
A Sacrifice,Mystery,1h 34m,5.1,5K
The Soul Eater,Mystery,1h 48m,5.9,2.4K
The Best Christmas Pageant Ever,Mystery,1h 39m,6.8,6K
The Sand Castle,Mystery,1h 38m,4.7,1.6K
Sookshma Darshini,Mystery,2h 22m,7.8,9.3K
Turtles All the Way Down,Mystery,1h 51m,6.6,6.8K
Colors of Evil: Red,Mystery,1h 51m,6.4,8.3K
Strictly Confidential,Mystery,1h 34m,2.8,824
Reunion,Mystery,1h 30m,5.6,3.4K
Drugstore June,Mystery,1h 31m,5.3,1.6K
Depravity,Mystery,1h 57m,4.3,898
Pedro Páramo,Mystery,2h 10m,6.3,2.8K
Sikandar Ka Muqaddar,Mystery,2h 22m,6,24K
Drive Back,Mystery,1h 34m,4.7,286
Skincare,Mystery,1h 36m,5.7,4.1K
Badland Hunters,Mystery,1h 47m,5.9,12K
Do Patti,Mystery,2h 6m,6.4,68K
Handling the Undead,Mystery,1h 37m,5.4,4.2K
The Price of Money: A Largo Winch Adventure,Mystery,1h 40m,5.1,1K
Cellphone,Mystery,1h 28m,3,691
The Image of You,Mystery,1h 30m,4.6,790
Bougainvillea,Mystery,2h 18m,6.4,3K
Desert Fiends,Mystery,1h 46m,8.5,359
The Tiger's Apprentice,Mystery,1h 24m,5.8,2.1K
Karma,Mystery,2h 47m,8.1,1.4K
City Hunter,Mystery,1h 42m,6.3,5.5K
Cult Killer,Mystery,1h 45m,4.8,2.7K
Believer,Mystery,1h 48m,4.5,355
Golam,Mystery,2h,7.2,5.4K
A Place Called Silence,Mystery,1h 59m,6.5,1.2K
Hidden Face,Mystery,1h 55m,6.1,460
Cinderella's Revenge,Mystery,1h 25m,3.7,1.1K
Crescent City,Mystery,1h 43m,3.9,1.3K
Inheritance,Mystery,1h 34m,5.1,3.4K
Cinderella's Curse,Mystery,1h 22m,3.3,1.3K
Rippy,Mystery,1h 23m,4.1,811
Dan Da Dan: First Encounter,Mystery,1h 23m,8.2,2.5K
The American Backyard,Mystery,1h 47m,6.2,120
Witchboard,Mystery,1h 55m,7.6,86
#AMFAD: All My Friends Are Dead,Mystery,1h 31m,4.5,1.2K
Mr. K,Mystery,1h 34m,6.2,346
American Star,Mystery,1h 47m,5.5,2.4K
The Hangman,Mystery,1h 32m,3.3,983
Gaami,Mystery,2h 27m,6.4,2K
Mononoke the Movie: The Phantom in the Rain,Mystery,1h 29m,6.8,1.1K
Compulsion,Mystery,1h 34m,N/A,N/A
Bloodline Killer,Mystery,1h 45m,3.8,4.4K
Dark Night of the Soul,Mystery,2h 1m,3.4,157
Arcadia,Mystery,1h 39m,6.9,429
Revolver,Mystery,1h 54m,5.4,814
The Monster Beneath Us,Mystery,1h 43m,5.9,402
Held Hostage in My House,Mystery,1h 30m,5.2,117
Perewangan,Mystery,1h 49m,6.1,88
Rakshana,Mystery,2h 19m,5.6,1.1K
Saint Clare,Mystery,1h 32m,7.6,87
Thalavan,Mystery,2h 11m,7.2,4.4K
Heresy,Mystery,1h 1m,6.9,265
Black,Mystery,1h 55m,7.1,2.7K
Anweshippin Kandethum,Mystery,2h 22m,7.4,10K
What Happened to Suzy,Mystery,1h 34m,6.6,58
Memes & Nightmares,Mystery,1h 21m,5.7,71
Chaalchitro: The Frame Fatale,Mystery,2h 4m,6.4,762
About a Hero,Mystery,1h 24m,6.5,31
