Title,Genre,Duration,Rating,Voting
Anora,Romance,2h 19m,7.6,141K
Wicked,Romance,2h 40m,7.5,139K
Babygirl,Romance,1h 54m,6,46K
It Ends with Us,Romance,2h 10m,6.4,80K
We Live in Time,Romance,1h 48m,7,47K
Challengers,Romance,2h 11m,7.1,150K
The Count of Monte-Cristo,Romance,2h 58m,7.6,32K
Queer,Romance,2h 17m,6.5,17K
The Crow,Romance,1h 51m,4.7,32K
The Fall Guy,Romance,2h 6m,6.8,215K
F*** Marry Kill,Romance,1h 37m,5.2,1.6K
My Old Ass,Romance,1h 29m,6.9,37K
Fly Me to the Moon,Romance,2h 12m,6.6,48K
The Idea of You,Romance,1h 55m,6.3,72K
Love Lies Bleeding,Romance,1h 44m,6.6,55K
All We Imagine as Light,Romance,1h 58m,7.1,8.6K
Culpa Tuya,Romance,1h 58m,5.2,12K
Emmanuelle,Romance,1h 47m,4.2,1.4K
A Family Affair,Romance,1h 51m,5.3,36K
Sidelined: The QB and Me,Romance,1h 39m,5.9,3.4K
Someone Like You,Romance,1h 58m,5.8,2K
Grafted,Romance,1h 36m,5.6,2K
Beating Hearts,Romance,2h 46m,7.1,3.9K
Lick,Romance,1h 15m,6.3,695
Your Monster,Romance,1h 43m,6.4,5.4K
Mon Potongo,Romance,2h 29m,6.2,115
Killer Heat,Romance,1h 37m,5.6,13K
We're All Gonna Die,Romance,1h 50m,8.4,69
Love Me,Romance,1h 31m,5.2,2.1K
Boot Camp,Romance,1h 34m,5.8,993
Young Woman and the Sea,Romance,2h 9m,7.5,16K
La Cocina,Romance,2h 19m,7.2,2.3K
The Tearsmith,Romance,1h 43m,5.2,12K
Lisa Frankenstein,Romance,1h 41m,6.1,28K
Lonely Planet,Romance,1h 34m,5.7,11K
Die Alone,Romance,1h 31m,5.7,2.5K
Upgraded,Romance,1h 44m,6.1,29K
Mother of the Bride,Romance,1h 28m,4.8,17K
Find Me Falling,Romance,1h 33m,6.3,12K
A Nice Indian Boy,Romance,1h 36m,7.1,144
The Dead Thing,Romance,1h 34m,4.8,771
Touch,Romance,2h 1m,7.4,5.1K
Girl Haunts Boy,Romance,1h 40m,6.3,2.8K
Winter Spring Summer or Fall,Romance,1h 37m,6.5,360
Jane Austen Wrecked My Life,Romance,1h 34m,6.6,147
Girls Will Be Girls,Romance,1h 58m,7.1,2.2K
My Favourite Cake,Romance,1h 37m,7.4,6.8K
Turn Me On,Romance,1h 39m,5.6,413
Loveable,Romance,1h 41m,8.1,1.2K
Players,Romance,1h 45m,5.7,12K
Role Play,Romance,1h 40m,5.5,19K
Irish Wish,Romance,1h 33m,5.2,21K
The Best Christmas Pageant Ever,Romance,1h 39m,6.8,6K
Our Little Secret,Romance,1h 41m,5.7,23K
Gone Running,Romance,1h 45m,7.1,3.7K
You Are the Apple of My Eye,Romance,1h 41m,7.8,3.2K
Vulgar,Romance,1h 43m,6.8,99
Beautiful Wedding,Romance,1h 40m,4.1,4K
Grand Tour,Romance,2h 8m,6.5,1.4K
Turtles All the Way Down,Romance,1h 51m,6.6,6.8K
The Greatest Hits,Romance,1h 34m,6.2,7.2K
The Silence of Marcos Tremmer,Romance,1h 52m,5.9,116
Ask Me What You Want,Romance,1h 54m,3.6,308
Darkest Miriam,Romance,1h 27m,6.9,29
Pedro Páramo,Romance,2h 10m,6.3,2.8K
Romance on the Ranch,Romance,1h 28m,6.8,281
Love in the Big City,Romance,1h 58m,7.5,1.3K
Hot Frosty,Romance,1h 32m,5.3,14K
This Time Next Year,Romance,1h 56m,5.6,2.1K
Through My Window: Looking at You,Romance,1h 45m,5.4,5K
This Is Me... Now,Romance,1h 5m,4.1,7.1K
Drained,Romance,1h 47m,4.6,272
The Southern Chronicles,Romance,2h,8.8,2.3K
Chosen Family,Romance,1h 28m,4.7,240
How to Date Billy Walsh,Romance,1h 38m,5.2,3.9K
The Merry Gentlemen,Romance,1h 27m,4.8,10K
Swap,Romance,1h 26m,2.9,322
Timestalker,Romance,1h 29m,5.5,2.8K
Premalu,Romance,2h 36m,7.8,19K
City Hunter,Romance,1h 42m,6.3,5.5K
Sex,Romance,2h 5m,6.7,845
Marmalade,Romance,1h 39m,6.2,3.5K
High Tide,Romance,1h 41m,6.6,470
Lilies Not for Me,Romance,1h 39m,8,73
Wallbanger,Romance,1h 58m,5.6,634
Take My Hand,Romance,1h 42m,6.3,276
A True Gentleman,Romance,1h 50m,4.5,2K
Five Blind Dates,Romance,1h 23m,5.1,1.9K
The Astronaut Lovers,Romance,1h 56m,7.1,542
The Family Star,Romance,2h 39m,5.4,5.4K
Cinderella's Revenge,Romance,1h 25m,3.7,1.1K
18×2 Beyond Youthful Days,Romance,2h 3m,7.3,1.8K
Young Werther,Romance,1h 41m,5.7,196
Cinderella's Curse,Romance,1h 22m,3.3,1.3K
Christmas Cowboy,Romance,N/A,6.7,94
5lbs of Pressure,Romance,1h 51m,5.3,1.5K
Three Friends,Romance,1h 57m,6.6,568
Freedom,Romance,1h 50m,5.9,1.3K
Plan B,Romance,1h 30m,5.9,1.1K
The Air He Breathes,Romance,1h 46m,6.4,355
Qalb,Romance,2h 27m,6.6,2.3K
Savi,Romance,2h 6m,6.2,35K
Private Tutor,Romance,1h 5m,4.9,181
Shrek 5: The Contract - A Fan Made Film,Romance,1h 24m,7,18
Daniela Forever,Romance,1h 53m,6.3,198
"Hello, Love, Again",Romance,2h 2m,6.8,785
Her Story,Romance,2h 3m,7.7,1.7K
My Name Is Loh Kiwan,Romance,2h 11m,6.7,4.3K
Love Across Time,Romance,N/A,7.2,377
Mr. Manhattan,Romance,1h 50m,6.7,430
Two to One,Romance,1h 56m,6,670
Langue Étrangère,Romance,1h 41m,6.7,471
Love,Romance,1h 59m,7.3,260
Ashes,Romance,1h 40m,4.3,2.5K
Previously Saved Version,Romance,1h 57m,5.4,394
From Contract Lover to the Billionaire's Bride,Romance,1h 24m,7,487
Uranus 2324,Romance,2h 10m,6.6,4.7K
Teri Baaton Mein Aisa Uljha Jiya,Romance,2h 21m,6.2,54K
Another End,Romance,2h 9m,6.5,698
Love Reddy,Romance,2h 18m,8.2,2.3K
Now or Never!,Romance,N/A,2,17K
Música,Romance,1h 31m,6.4,4.9K
Still Fabulous,Romance,1h 32m,4.9,835
Snatched a Billionaire to Be My Husband,Romance,1h 10m,7.6,647
Haunted Heart,Romance,2h 8m,4.8,450
Love Switch,Romance,1h 29m,6,221
Good Bad Things,Romance,1h 36m,5.8,186
The Groomsmen: First Look,Romance,1h 22m,6.1,373
Passport to Love,Romance,1h 28m,6.2,390
Viva La Vida,Romance,2h 10m,7.5,781
Lesbian Space Princess,Romance,1h 27m,8,94
Why Do You?,Romance,1h 43m,5.4,392
"Love, Divided",Romance,1h 38m,5.9,4.5K
Layla,Romance,1h 40m,6.4,283
Do Aur Do Pyaar,Romance,2h 20m,6.4,12K
Black Tea,Romance,1h 50m,5.2,526
Bau: Artist at War,Romance,2h 10m,7,51
Intoxicated by Love,Romance,1h 58m,8.5,12K
Futra Days,Romance,1h 39m,4.2,136
The Groomsmen Last Dance,Romance,N/A,6.9,328
Believe in Christmas,Romance,1h 30m,6.1,817
Pure Love,Romance,1h 49m,9.2,90
Breakup Season,Romance,1h 42m,5.8,301
Bad Newz,Romance,2h 22m,4.7,26K
Boys on Film 24: Happy Endings,Romance,2h 54m,6.9,26
Bachhala Malli,Romance,2h 20m,8.3,3.9K
Meet Me Next Christmas,Romance,1h 45m,5.7,8.4K
Wild Wild Punjab,Romance,1h 49m,6.2,15K
Eks,Romance,2h 1m,4.5,181
Stag,Romance,1h 27m,5.1,108
Love Is Never on Time,Romance,1h 50m,8.9,55
Hear Me: Our Summer,Romance,1h 49m,7.5,600
The Holiday Junkie,Romance,1h 28m,6.3,439
Wanted: Girlfriend,Romance,49m,4.1,216
Auron Mein Kahan Dum Tha,Romance,2h 30m,6.6,40K
Mascarpone: The Rainbow Cake,Romance,1h 45m,6.1,474
Drawing Closer,Romance,1h 58m,7.6,2.4K
The Groomsmen: Second Chances,Romance,1h 24m,6.1,420
White Snake: Afloat,Romance,2h 13m,6.9,426
A Christmas Castle Proposal: A Royal in Paradise 2,Romance,N/A,6.4,323
Nado snimat filmy o lyubvi,Romance,1h 13m,7.8,29
Siddharth Roy,Romance,2h 28m,6.4,2.9K
Murder Mubarak,Romance,2h 20m,5.8,51K
A '90s Christmas,Romance,1h 30m,6,1.1K
Meet Me in Rome,Romance,1h 25m,4.9,357
Amar Singh Chamkila,Romance,2h 25m,7.8,16K
I Can Never Be Yours,Romance,N/A,8.6,114
Bonjour Tristesse,Romance,1h 50m,6,82
Ajosepo,Romance,2h 14m,8.6,51
No Pressure,Romance,1h 51m,5.1,1.1K
Perfect Endings,Romance,1h 40m,5.5,181
Christmas in the Spotlight,Romance,1h 27m,5.8,658
The Glassworker,Romance,1h 38m,7.6,1.5K
A Toast to Love,Romance,1h 29m,6.1,105
Dandelion,Romance,1h 53m,5.3,383
Art of Love,Romance,1h 39m,4.6,2.3K
Marry Christmas,Romance,1h 25m,6.9,57
Sicilian Holiday,Romance,1h 42m,4.9,10
The Lifeguards,Romance,1h 47m,3.9,134
Undergrads,Romance,1h 6m,5.6,41
Say a Little Prayer,Romance,1h 43m,8.4,41
0000 Kilometre,Romance,1h 50m,2.9,121
Ipar Adalah Maut,Romance,2h 11m,7,1.1K
Books & Drinks,Romance,1h 34m,6.7,70
She Taught Love,Romance,1h 42m,5.2,395
Phir Aayi Hasseen Dillruba,Romance,2h 12m,5.8,6.7K
The Private Eye,Romance,1h 55m,3.8,122
Three Secrets,Romance,1h 32m,4.4,45
Rasavathi,Romance,2h 28m,6.4,553
Duino,Romance,1h 48m,8.3,97
Else,Romance,1h 40m,6.1,223
