Title,Genre,Duration,Rating,Voting
Emilia Pérez,Thriller,2h 12m,5.4,83K
Conclave,Thriller,2h,7.4,127K
Heretic,Thriller,1h 51m,7,115K
Venom: The Last Dance,Thriller,1h 50m,6,105K
Babygirl,Thriller,1h 54m,6,46K
Sep-05,Thriller,1h 35m,7.1,19K
Presence,Thriller,1h 24m,6.2,16K
The Order,Thriller,1h 56m,6.8,36K
Longlegs,Thriller,1h 41m,6.6,177K
Kraven the Hunter,Thriller,2h 7m,5.4,42K
Pushpa: The Rule - Part 2,Thriller,3h 21m,6.1,53K
Furiosa: A Mad Max Saga,Thriller,2h 28m,7.5,278K
Elevation,Thriller,1h 31m,5.6,19K
Blink Twice,Thriller,1h 42m,6.5,99K
The Surfer,Thriller,1h 43m,6.6,586
Borderlands,Thriller,1h 41m,4.7,44K
Eden,Thriller,2h,6.1,780
Juror #2,Thriller,1h 54m,7,90K
Alien: Romulus,Thriller,1h 59m,7.1,236K
A Different Man,Thriller,1h 52m,6.9,27K
Smile 2,Thriller,2h 7m,6.7,96K
Subservience,Thriller,1h 46m,5.4,26K
Civil War,Thriller,1h 49m,7,231K
The Count of Monte-Cristo,Thriller,2h 58m,7.6,32K
The Seed of the Sacred Fig,Thriller,2h 47m,7.6,12K
Twisters,Thriller,2h 2m,6.5,159K
Speak No Evil,Thriller,1h 50m,6.8,91K
Abigail,Thriller,1h 49m,6.6,94K
The Watchers,Thriller,1h 42m,5.7,55K
Carry-On,Thriller,1h 59m,6.5,158K
The Crow,Thriller,1h 51m,4.7,32K
The Beekeeper,Thriller,1h 45m,6.3,152K
Joker: Folie à Deux,Thriller,2h 18m,5.2,156K
Trap,Thriller,1h 45m,5.8,128K
Wolfs,Thriller,1h 48m,6.5,78K
F*** Marry Kill,Thriller,1h 37m,5.2,1.6K
Kingdom of the Planet of the Apes,Thriller,2h 25m,6.9,149K
Madame Web,Thriller,1h 56m,4,99K
The Rule of Jenny Pen,Thriller,1h 44m,6.5,533
Homestead,Thriller,1h 52m,5.4,3.2K
Rebel Ridge,Thriller,2h 11m,6.8,85K
Dead Money,Thriller,1h 40m,5.9,487
Caddo Lake,Thriller,1h 43m,6.8,40K
Hellboy: The Crooked Man,Thriller,1h 39m,4.5,12K
It's What's Inside,Thriller,1h 43m,6.6,40K
Oddity,Thriller,1h 38m,6.7,40K
Road House,Thriller,2h 1m,6.2,165K
A Quiet Place: Day One,Thriller,1h 39m,6.3,144K
Bad Boys: Ride or Die,Thriller,1h 55m,6.5,98K
Argylle,Thriller,2h 19m,5.6,91K
Cold Wallet,Thriller,1h 33m,5.2,378
Lucky Baskhar,Thriller,2h 28m,8,29K
Monkey Man,Thriller,2h 1m,6.8,90K
Cuckoo,Thriller,1h 42m,5.7,25K
Love Lies Bleeding,Thriller,1h 44m,6.6,55K
Aftermath,Thriller,1h 37m,5.1,3.3K
Godzilla x Kong: The New Empire,Thriller,1h 55m,6.1,119K
Baby John,Thriller,2h 39m,5.4,17K
The Union,Thriller,1h 47m,5.4,52K
Things Will Be Different,Thriller,1h 42m,5.2,2.2K
Land of Bad,Thriller,1h 53m,6.6,50K
Immaculate,Thriller,1h 29m,5.8,51K
Don't Move,Thriller,1h 32m,5.8,38K
The Killer's Game,Thriller,1h 44m,5.7,16K
Absolution,Thriller,1h 52m,5.2,7.3K
In a Violent Nature,Thriller,1h 34m,5.6,25K
Cellar Door,Thriller,1h 37m,5.3,3.4K
Drive-Away Dolls,Thriller,1h 24m,5.4,23K
Fear,Thriller,1h 55m,8.6,2.7K
Sleeping Dogs,Thriller,1h 50m,6.2,21K
Miller's Girl,Thriller,1h 33m,5.2,23K
Slingshot,Thriller,1h 48m,5.7,8.6K
Arcadian,Thriller,1h 32m,5.5,22K
Werewolves,Thriller,1h 33m,4.4,5.9K
Grafted,Thriller,1h 36m,5.6,2K
The Front Room,Thriller,1h 34m,4.6,5.1K
The Killer,Thriller,2h 6m,5.7,12K
Distant,Thriller,1h 27m,5.7,2.9K
Salem's Lot,Thriller,1h 54m,5.6,33K
Lift,Thriller,1h 47m,5.5,49K
Apartment 7A,Thriller,1h 47m,5.8,16K
Beverly Hills Cop: Axel F,Thriller,1h 58m,6.4,80K
The Last Breath,Thriller,1h 36m,4.7,1.9K
Bonhoeffer: Pastor. Spy. Assassin.,Thriller,2h 13m,6.3,3.3K
The Instigators,Thriller,1h 41m,6.2,37K
